EmployeeID,Age,Department,MaritalStatus,EducationField,DistanceFromHome,MonthlyIncome,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,TotalWorkingYears,TrainingTimesLastYear,NumCompaniesWorked,JobSatisfaction,EnvironmentSatisfaction,RelationshipSatisfaction,WorkLifeBalance,JobInvolvement,PerformanceRating,OverTime,BusinessTravel,Gender,StockOptionLevel,PercentSalaryHike,JobRole,Attrition
1,21,Sales,Married,Other,13,3665,12,3,1,20,3,6,1,1,3,4,2,3,No,Travel_Frequently,Male,2,22,Sales Representative,No
2,50,Sales,Married,Life Sciences,1,10627,11,0,7,20,2,7,4,2,2,3,4,3,Yes,Travel_Rarely,Female,3,17,Sales Representative,No
3,45,Sales,Married,Human Resources,20,13792,1,7,8,10,0,1,4,3,1,3,1,3,No,Travel_Rarely,Female,0,20,Manager,No
4,36,Research & Development,Married,Technical Degree,14,3118,2,4,10,6,0,2,4,1,4,2,1,3,No,Travel_Rarely,Male,0,23,Manufacturing Director,No
5,36,Research & Development,Divorced,Human Resources,23,9007,14,0,8,22,4,0,2,4,2,4,3,3,No,Travel_Rarely,Female,2,12,Research Director,No
6,54,Sales,Married,Marketing,18,6646,14,13,2,22,4,4,2,1,1,1,3,3,Yes,Travel_Rarely,Female,2,14,Manager,Yes
7,21,Sales,Divorced,Life Sciences,23,2706,13,10,5,18,3,4,4,4,4,2,3,3,No,Travel_Rarely,Female,2,14,Sales Representative,Yes
8,47,Human Resources,Married,Human Resources,14,16472,3,16,6,3,5,0,1,3,1,4,1,3,No,Travel_Rarely,Male,3,12,HR Manager,No
9,26,Sales,Single,Technical Degree,1,10004,12,8,14,13,0,5,4,4,3,2,2,3,No,Travel_Rarely,Male,0,19,Sales Representative,No
10,21,Research & Development,Married,Marketing,4,15531,1,7,7,7,4,0,3,4,2,1,4,3,No,Travel_Rarely,Male,3,10,Manufacturing Director,Yes
11,40,Research & Development,Married,Marketing,14,12567,3,15,9,11,4,7,3,3,4,2,1,3,Yes,Travel_Rarely,Female,0,15,Laboratory Technician,Yes
12,58,Sales,Divorced,Marketing,12,17764,12,1,11,21,1,6,2,4,1,2,4,3,No,Travel_Rarely,Female,2,11,Sales Executive,No
13,48,Sales,Married,Marketing,24,19946,15,6,5,17,3,7,4,2,4,3,1,3,No,Travel_Rarely,Male,3,19,Sales Executive,No
14,49,Sales,Single,Medical,12,12837,16,14,14,24,4,1,3,3,1,1,1,3,No,Travel_Rarely,Male,2,21,Sales Executive,No
15,48,Human Resources,Married,Medical,25,8339,24,5,10,32,3,7,1,4,4,2,4,3,No,Travel_Rarely,Male,0,17,HR Manager,No
16,51,Sales,Single,Medical,6,9612,21,15,12,25,1,4,3,1,2,4,2,4,No,Travel_Rarely,Male,2,16,Manager,Yes
17,39,Sales,Married,Life Sciences,12,16857,9,5,11,12,3,7,4,2,1,1,3,3,No,Travel_Rarely,Female,3,16,Sales Executive,No
18,23,Sales,Married,Other,22,9679,19,7,9,23,4,6,1,1,2,4,2,3,No,Travel_Rarely,Male,0,12,Sales Representative,Yes
19,53,Sales,Married,Medical,4,11355,2,16,0,8,0,5,3,3,1,1,3,3,Yes,Travel_Rarely,Female,3,15,Manager,No
20,36,Research & Development,Divorced,Life Sciences,10,5492,21,4,8,29,3,0,1,4,2,2,2,3,No,Travel_Rarely,Male,2,23,Research Director,No
21,39,Sales,Married,Life Sciences,22,19821,9,17,1,10,3,6,3,1,3,3,2,3,No,Travel_Frequently,Female,0,10,Sales Representative,Yes
22,33,Research & Development,Married,Other,18,13714,19,0,9,22,2,4,4,3,3,4,4,3,No,Travel_Rarely,Female,1,21,Manufacturing Director,No
23,25,Research & Development,Married,Marketing,23,7943,24,4,10,25,0,7,2,2,3,2,3,3,No,Travel_Frequently,Male,3,12,Laboratory Technician,Yes
24,56,Research & Development,Divorced,Medical,15,12531,17,10,8,26,0,6,1,4,4,1,3,3,No,Non-Travel,Female,1,11,Research Director,Yes
25,50,Sales,Divorced,Marketing,25,9220,23,10,4,27,4,0,1,1,2,4,4,3,No,Travel_Rarely,Female,3,14,Sales Executive,No
26,45,Research & Development,Single,Life Sciences,26,4787,0,16,0,2,4,8,3,1,3,4,2,3,No,Travel_Rarely,Female,1,14,Research Director,Yes
27,34,Research & Development,Married,Medical,29,17745,4,17,10,6,2,0,4,1,1,3,4,3,Yes,Travel_Rarely,Male,1,14,Research Director,Yes
28,52,Sales,Single,Medical,4,17941,15,12,10,15,5,2,2,2,2,1,3,3,No,Non-Travel,Male,3,22,Sales Executive,Yes
29,40,Research & Development,Divorced,Human Resources,18,17028,13,11,7,17,5,1,4,2,3,3,4,3,No,Non-Travel,Male,3,23,Manufacturing Director,No
30,36,Research & Development,Married,Life Sciences,4,8632,3,5,10,10,3,8,2,4,1,2,2,3,No,Non-Travel,Female,0,20,Research Director,No
31,36,Sales,Married,Marketing,7,6615,17,14,11,20,3,1,1,2,2,2,3,3,No,Travel_Rarely,Male,3,12,Sales Representative,Yes
32,27,Human Resources,Single,Human Resources,9,2895,1,11,7,5,5,7,3,1,1,1,1,3,No,Travel_Rarely,Female,1,24,HR Specialist,No
33,21,Research & Development,Married,Other,19,15167,24,0,0,30,3,1,4,3,4,2,1,3,Yes,Travel_Frequently,Male,3,22,Research Scientist,Yes
34,41,Research & Development,Married,Technical Degree,13,7901,3,14,13,6,5,5,2,1,3,4,1,4,Yes,Travel_Frequently,Female,0,11,Laboratory Technician,Yes
35,55,Human Resources,Single,Medical,26,18059,11,6,7,18,5,0,4,2,3,1,3,3,No,Travel_Rarely,Male,2,15,HR Specialist,No
36,20,Research & Development,Single,Marketing,9,17657,20,8,10,23,1,3,3,3,3,4,2,3,Yes,Travel_Rarely,Male,0,21,Research Director,No
37,54,Research & Development,Divorced,Medical,18,4307,12,8,13,16,3,5,2,2,1,3,2,3,No,Travel_Rarely,Male,2,11,Research Director,No
38,52,Sales,Married,Technical Degree,23,18505,18,14,5,27,4,6,3,3,1,3,3,4,Yes,Travel_Frequently,Female,3,11,Sales Executive,Yes
39,29,Research & Development,Single,Medical,29,4525,17,4,9,25,4,7,2,2,2,4,2,3,No,Travel_Rarely,Female,2,19,Research Scientist,Yes
40,44,Research & Development,Single,Technical Degree,8,10827,23,7,0,28,2,7,1,4,1,1,1,4,No,Travel_Rarely,Male,1,15,Laboratory Technician,No
41,24,Sales,Divorced,Technical Degree,22,10530,11,0,13,14,5,4,4,2,2,4,3,3,No,Travel_Frequently,Male,3,16,Sales Representative,No
42,49,Research & Development,Married,Other,3,19214,24,6,0,33,2,2,2,4,2,2,3,4,No,Travel_Rarely,Female,0,21,Manufacturing Director,No
43,47,Sales,Married,Marketing,16,13831,12,1,8,16,2,2,3,3,4,2,1,3,Yes,Travel_Rarely,Male,2,18,Sales Executive,No
44,32,Sales,Single,Other,13,17754,22,10,5,25,0,8,3,3,2,2,2,3,No,Travel_Frequently,Male,3,20,Manager,No
45,20,Sales,Single,Marketing,28,12724,18,16,0,23,1,5,1,1,1,3,1,3,No,Travel_Frequently,Female,1,11,Manager,Yes
46,58,Sales,Single,Human Resources,23,16854,3,8,6,7,5,8,3,1,4,2,3,3,No,Travel_Rarely,Male,0,10,Sales Executive,No
47,36,Sales,Married,Technical Degree,27,17338,16,16,14,24,4,3,2,3,1,4,1,4,Yes,Travel_Rarely,Male,1,13,Sales Executive,No
48,55,Sales,Single,Human Resources,25,17474,21,17,2,23,4,4,3,2,1,1,1,3,No,Travel_Rarely,Male,1,13,Manager,Yes
49,46,Research & Development,Single,Marketing,12,9409,3,0,4,3,5,7,2,2,2,3,2,3,No,Travel_Rarely,Female,3,14,Manufacturing Director,No
50,50,Research & Development,Married,Human Resources,22,8873,20,9,2,24,1,6,4,4,1,3,2,3,No,Travel_Rarely,Male,3,21,Manufacturing Director,No
51,49,Research & Development,Divorced,Marketing,1,19726,2,9,1,11,3,1,1,2,4,3,4,3,No,Travel_Rarely,Female,1,12,Research Scientist,No
52,26,Sales,Married,Marketing,17,15616,21,6,3,21,2,4,1,2,2,3,1,3,No,Travel_Rarely,Male,3,11,Sales Representative,No
53,33,Research & Development,Married,Marketing,2,18511,19,14,8,27,5,1,2,3,4,3,4,3,No,Travel_Rarely,Female,0,13,Manufacturing Director,No
54,37,Research & Development,Married,Human Resources,22,12392,3,7,11,3,2,6,1,4,1,4,2,4,No,Travel_Frequently,Male,0,14,Manufacturing Director,Yes
55,38,Sales,Married,Technical Degree,29,18722,18,0,10,23,5,0,1,4,3,1,2,4,No,Travel_Frequently,Male,2,12,Sales Representative,No
56,19,Sales,Married,Life Sciences,20,14954,2,9,11,6,4,7,3,3,1,2,1,3,No,Non-Travel,Male,2,12,Sales Representative,No
57,40,Research & Development,Married,Human Resources,25,15366,14,3,10,15,4,8,4,1,1,3,2,3,No,Travel_Rarely,Male,3,18,Research Scientist,No
